,Hour In Year,Cost ILS/Kwh
0,1,0.3563
1,2,0.3563
2,3,0.3563
3,4,0.3563
4,5,0.3563
5,6,0.3563
6,7,0.5797
7,8,0.5797
8,9,0.3563
9,10,0.3563
10,11,0.3563
11,12,0.3563
12,13,0.3563
13,14,0.3563
14,15,0.3563
15,16,0.3563
16,17,0.9584
17,18,0.9584
18,19,0.9584
19,20,0.9584
20,21,0.9584
21,22,0.9584
22,23,0.3563
23,24,0.3563
24,25,0.3563
25,26,0.3563
26,27,0.3563
27,28,0.3563
28,29,0.3563
29,30,0.3563
30,31,0.5797
31,32,0.5797
32,33,0.3563
33,34,0.3563
34,35,0.3563
35,36,0.3563
36,37,0.3563
37,38,0.3563
38,39,0.3563
39,40,0.3563
40,41,0.9584
41,42,0.9584
42,43,0.9584
43,44,0.9584
44,45,0.9584
45,46,0.9584
46,47,0.3563
47,48,0.3563
48,49,0.3563
49,50,0.3563
50,51,0.3563
51,52,0.3563
52,53,0.3563
53,54,0.3563
54,55,0.5797
55,56,0.5797
56,57,0.3563
57,58,0.3563
58,59,0.3563
59,60,0.3563
60,61,0.3563
61,62,0.3563
62,63,0.3563
63,64,0.3563
64,65,0.9584
65,66,0.9584
66,67,0.9584
67,68,0.9584
68,69,0.9584
69,70,0.9584
70,71,0.3563
71,72,0.3563
72,73,0.3563
73,74,0.3563
74,75,0.3563
75,76,0.3563
76,77,0.3563
77,78,0.3563
78,79,0.5797
79,80,0.5797
80,81,0.3563
81,82,0.3563
82,83,0.3563
83,84,0.3563
84,85,0.3563
85,86,0.3563
86,87,0.3563
87,88,0.3563
88,89,0.9584
89,90,0.9584
90,91,0.9584
91,92,0.9584
92,93,0.9584
93,94,0.9584
94,95,0.3563
95,96,0.3563
96,97,0.3563
97,98,0.3563
98,99,0.3563
99,100,0.3563
100,101,0.3563
101,102,0.3563
102,103,0.5797
103,104,0.5797
104,105,0.3563
105,106,0.3563
106,107,0.3563
107,108,0.3563
108,109,0.3563
