    ,HourOfYear,2018
0,1,0.14272
1,2,0.14272
2,3,0.14272
3,4,0.14272
4,5,0.14272
5,6,0.14272
6,7,0.14272
7,8,0.14272
8,9,0.14272
9,10,0.14272
10,11,0.14272
11,12,0.14272
12,13,0.14272
13,14,0.14272
14,15,0.14272
15,16,0.14272
16,17,0.14272
17,18,0.49112
18,19,0.49112
19,20,0.49112
20,21,0.49112
21,22,0.49112
22,23,0.14272
23,24,0.14272
24,25,0.14272
25,26,0.14272
26,27,0.14272
27,28,0.14272
28,29,0.14272
29,30,0.14272
30,31,0.14272
31,32,0.14272
32,33,0.14272
33,34,0.14272
34,35,0.14272
35,36,0.14272
36,37,0.14272
37,38,0.14272
38,39,0.14272
39,40,0.14272
40,41,0.14272
41,42,0.49112
42,43,0.49112
43,44,0.49112
44,45,0.49112
45,46,0.49112
46,47,0.14272
47,48,0.14272
48,49,0.14272
49,50,0.14272
50,51,0.14272
51,52,0.14272
52,53,0.14272
53,54,0.14272
54,55,0.14272
55,56,0.14272
56,57,0.14272
57,58,0.14272
58,59,0.14272
59,60,0.14272
60,61,0.14272
61,62,0.14272
62,63,0.14272
63,64,0.14272
64,65,0.14272
65,66,0.49112
66,67,0.49112
67,68,0.49112
68,69,0.49112
69,70,0.49112
70,71,0.14272
71,72,0.14272
72,73,0.14272
73,74,0.14272
74,75,0.14272
75,76,0.14272
76,77,0.14272
77,78,0.14272
78,79,0.14272
79,80,0.14272
80,81,0.14272
81,82,0.14272
82,83,0.14272
83,84,0.14272
84,85,0.14272
85,86,0.14272
86,87,0.14272
87,88,0.14272
88,89,0.14272
89,90,0.49112
90,91,0.49112
91,92,0.49112
92,93,0.49112
93,94,0.49112
94,95,0.14272
95,96,0.14272
96,97,0.14272
97,98,0.14272
98,99,0.14272
99,100,0.14272
100,101,0.14272
101,102,0.14272
102,103,0.14272
103,104,0.14272
104,105,0.14272
105,106,0.14272
106,107,0.14272
107,108,0.14272
108,109,0.14272
109,110,0.14272
110,111,0.14272
111,112,0.14272
112,113,0.14272
113,114,0.49112
114,115,0.49112
115,116,0.49112
116,117,0.49112
117,118,0.49112
118,119,0.14272
119,120,0.14272
120,121,0.14272
121,122,0.14272
122,123,0.14272
123,124,0.14272
124,125,0.14272
125,126,0.14272
126,127,0.14272
127,128,0.14272
128,129,0.14272
129,130,0.14272
130,131,0.14272
131,132,0.14272
132,133,0.14272
133,134,0.14272
134,135,0.14272
135,136,0.14272
136,137,0.14272
137,138,0.49112
138,139,0.49112
139,140,0.49112
140,141,0.49112
141,142,0.49112
142,143,0.14272
143,144,0.14272
144,145,0.14272
145,146,0.14272
146,147,0.14272
147,148,0.14272
148,149,0.14272
149,150,0.14272
150,151,0.14272
151,152,0.14272
152,153,0.14272
153,154,0.14272
154,155,0.14272
155,156,0.14272
156,157,0.14272
157,158,0.14272
158,159,0.14272
159,160,0.14272
160,161,0.14272
161,162,0.49112
162,163,0.49112
163,164,0.49112
164,165,0.49112
165,166,0.49112
166,167,0.14272
167,168,0.14272
168,169,0.14272
169,170,0.14272
170,171,0.14272
171,172,0.14272
172,173,0.14272
173,174,0.14272
174,175,0.14272
175,176,0.14272
176,177,0.14272
177,178,0.14272
178,179,0.14272
179,180,0.14272
180,181,0.14272
181,182,0.14272
182,183,0.14272
183,184,0.14272
184,185,0.14272
185,186,0.49112
186,187,0.49112
187,188,0.49112
188,189,0.49112
189,190,0.49112
190,191,0.14272
191,192,0.14272
192,193,0.14272
193,194,0.14272
194,195,0.14272
195,196,0.14272
196,197,0.14272
197,198,0.14272
198,199,0.14272
199,200,0.14272
200,201,0.14272
201,202,0.14272
202,203,0.14272
203,204,0.14272
204,205,0.14272
205,206,0.14272
206,207,0.14272
207,208,0.14272
208,209,0.14272
209,210,0.49112
210,211,0.49112
211,212,0.49112
212,213,0.49112
213,214,0.49112
214,215,0.14272
215,216,0.14272
216,217,0.14272
217,218,0.14272
218,219,0.14272
219,220,0.14272
220,221,0.14272
221,222,0.14272
222,223,0.14272
223,224,0.14272
224,225,0.14272
225,226,0.14272
226,227,0.14272
227,228,0.14272
228,229,0.14272
229,230,0.14272
230,231,0.14272
231,232,0.14272
232,233,0.14272
233,234,0.49112
234,235,0.49112
235,236,0.49112
236,237,0.49112
237,238,0.49112
238,239,0.14272
239,240,0.14272
240,241,0.14272
241,242,0.14272
242,243,0.14272
243,244,0.14272
244,245,0.14272
245,246,0.14272
246,247,0.14272
247,248,0.14272
248,249,0.14272
249,250,0.14272
250,251,0.14272
251,252,0.14272
252,253,0.14272
253,254,0.14272
254,255,0.14272
255,256,0.14272
256,257,0.14272
257,258,0.49112
258,259,0.49112
259,260,0.49112
260,261,0.49112
261,262,0.49112
262,263,0.14272
263,264,0.14272
264,265,0.14272
265,266,0.14272
266,267,0.14272
267,268,0.14272
268,269,0.14272
269,270,0.14272
270,271,0.14272
271,272,0.14272
272,273,0.14272
273,274,0.14272
274,275,0.14272
275,276,0.14272
276,277,0.14272
277,278,0.14272
278,279,0.14272
279,280,0.14272
280,281,0.14272
281,282,0.49112
282,283,0.49112
283,284,0.49112
284,285,0.49112
285,286,0.49112
286,287,0.14272
287,288,0.14272
288,289,0.14272
289,290,0.14272
290,291,0.14272
291,292,0.14272
292,293,0.14272
293,294,0.14272
294,295,0.14272
295,296,0.14272
296,297,0.14272
297,298,0.14272
298,299,0.14272
299,300,0.14272
300,301,0.14272
301,302,0.14272
302,303,0.14272
303,304,0.14272
304,305,0.14272
305,306,0.49112
306,307,0.49112
307,308,0.49112
308,309,0.49112
309,310,0.49112
310,311,0.14272
311,312,0.14272
312,313,0.14272
313,314,0.14272
314,315,0.14272
315,316,0.14272
316,317,0.14272
317,318,0.14272
318,319,0.14272
319,320,0.14272
320,321,0.14272
321,322,0.14272
322,323,0.14272
323,324,0.14272
324,325,0.14272
325,326,0.14272
326,327,0.14272
327,328,0.14272
328,329,0.14272
329,330,0.49112
330,331,0.49112
331,332,0.49112
332,333,0.49112
333,334,0.49112
334,335,0.14272
335,336,0.14272
336,337,0.14272
337,338,0.14272
338,339,0.14272
339,340,0.14272
340,341,0.14272
341,342,0.14272
342,343,0.14272
343,344,0.14272
344,345,0.14272
345,346,0.14272
346,347,0.14272
347,348,0.14272
348,349,0.14272
349,350,0.14272
350,351,0.14272
351,352,0.14272
352,353,0.14272
353,354,0.49112
354,355,0.49112
355,356,0.49112
356,357,0.49112
357,358,0.49112
358,359,0.14272
359,360,0.14272
360,361,0.14272
361,362,0.14272
362,363,0.14272
363,364,0.14272
364,365,0.14272
365,366,0.14272
366,367,0.14272
367,368,0.14272
368,369,0.14272
369,370,0.14272
370,371,0.14272
371,372,0.14272
372,373,0.14272
373,374,0.14272
374,375,0.14272
375,376,0.14272
376,377,0.14272
377,378,0.49112
378,379,0.49112
379,380,0.49112
380,381,0.49112
381,382,0.49112
382,383,0.14272
383,384,0.14272
384,385,0.14272
385,386,0.14272
386,387,0.14272
387,388,0.14272
388,389,0.14272
389,390,0.14272
390,391,0.14272
391,392,0.14272
392,393,0.14272
393,394,0.14272
394,395,0.14272
395,396,0.14272
396,397,0.14272
397,398,0.14272
398,399,0.14272
399,400,0.14272
400,401,0.14272
401,402,0.49112
402,403,0.49112
403,404,0.49112
404,405,0.49112
405,406,0.49112
406,407,0.14272
407,408,0.14272
408,409,0.14272
409,410,0.14272
410,411,0.14272
411,412,0.14272
412,413,0.14272
413,414,0.14272
414,415,0.14272
415,416,0.14272
416,417,0.14272
417,418,0.14272
418,419,0.14272
419,420,0.14272
420,421,0.14272
421,422,0.14272
422,423,0.14272
423,424,0.14272
424,425,0.14272
425,426,0.49112
426,427,0.49112
427,428,0.49112
428,429,0.49112
429,430,0.49112
430,431,0.14272
431,432,0.14272
432,433,0.14272
433,434,0.14272
434,435,0.14272
435,436,0.14272
436,437,0.14272
437,438,0.14272
438,439,0.14272
439,440,0.14272
440,441,0.14272
441,442,0.14272
442,443,0.14272
443,444,0.14272
444,445,0.14272
445,446,0.14272
446,447,0.14272
447,448,0.14272
448,449,0.14272
449,450,0.49112
450,451,0.49112
451,452,0.49112
452,453,0.49112
453,454,0.49112
454,455,0.14272
455,456,0.14272
456,457,0.14272
457,458,0.14272
458,459,0.14272
459,460,0.14272
460,461,0.14272
461,462,0.14272
462,463,0.14272
463,464,0.14272
464,465,0.14272
465,466,0.14272
466,467,0.14272
467,468,0.14272
468,469,0.14272
469,470,0.14272
470,471,0.14272
471,472,0.14272
472,473,0.14272
473,474,0.49112
474,475,0.49112
475,476,0.49112
476,477,0.49112
477,478,0.49112
478,479,0.14272
479,480,0.14272
480,481,0.14272
481,482,0.14272
482,483,0.14272
483,484,0.14272
484,485,0.14272
485,486,0.14272
486,487,0.14272
487,488,0.14272
488,489,0.14272
489,490,0.14272
490,491,0.14272
491,492,0.14272
492,493,0.14272
493,494,0.14272
494,495,0.14272
495,496,0.14272
496,497,0.14272
497,498,0.49112
498,499,0.49112
499,500,0.49112
500,501,0.49112
501,502,0.49112
502,503,0.14272
503,504,0.14272
504,505,0.14272
505,506,0.14272
506,507,0.14272
507,508,0.14272
508,509,0.14272
509,510,0.14272
510,511,0.14272
511,512,0.14272
512,513,0.14272
513,514,0.14272
514,515,0.14272
515,516,0.14272
516,517,0.14272
517,518,0.14272
518,519,0.14272
519,520,0.14272
520,521,0.14272
521,522,0.49112
522,523,0.49112
523,524,0.49112
524,525,0.49112
525,526,0.49112
526,527,0.14272
527,528,0.14272
528,529,0.14272
529,530,0.14272
530,531,0.14272
531,532,0.14272
532,533,0.14272
533,534,0.14272
534,535,0.14272
535,536,0.14272
536,537,0.14272
537,538,0.14272
538,539,0.14272
539,540,0.14272
540,541,0.14272
541,542,0.14272
542,543,0.14272
543,544,0.14272
544,545,0.14272
545,546,0.49112
546,547,0.49112
547,548,0.49112
548,549,0.49112
549,550,0.49112
550,551,0.14272
551,552,0.14272
552,553,0.14272
553,554,0.14272
554,555,0.14272
555,556,0.14272
556,557,0.14272
557,558,0.14272
558,559,0.14272
559,560,0.14272
560,561,0.14272
561,562,0.14272
562,563,0.14272
563,564,0.14272
564,565,0.14272
565,566,0.14272
566,567,0.14272
567,568,0.14272
568,569,0.14272
569,570,0.49112
570,571,0.49112
571,572,0.49112
572,573,0.49112
573,574,0.49112
574,575,0.14272
575,576,0.14272
576,577,0.14272
577,578,0.14272
578,579,0.14272
579,580,0.14272
580,581,0.14272
581,582,0.14272
582,583,0.14272
583,584,0.14272
584,585,0.14272
585,586,0.14272
586,587,0.14272
587,588,0.14272
588,589,0.14272
589,590,0.14272
590,591,0.14272
591,592,0.14272
592,593,0.14272
593,594,0.49112
594,595,0.49112
595,596,0.49112
596,597,0.49112
597,598,0.49112
598,599,0.14272
599,600,0.14272
600,601,0.14272
601,602,0.14272
602,603,0.14272
603,604,0.14272
604,605,0.14272
605,606,0.14272
606,607,0.14272
607,608,0.14272
608,609,0.14272
609,610,0.14272
610,611,0.14272
611,612,0.14272
612,613,0.14272
613,614,0.14272
614,615,0.14272
615,616,0.14272
616,617,0.14272
617,618,0.49112
618,619,0.49112
619,620,0.49112
620,621,0.49112
621,622,0.49112
622,623,0.14272
623,624,0.14272
624,625,0.14272
625,626,0.14272
626,627,0.14272
627,628,0.14272
628,629,0.14272
629,630,0.14272
630,631,0.14272
631,632,0.14272
632,633,0.14272
633,634,0.14272
634,635,0.14272
635,636,0.14272
636,637,0.14272
637,638,0.14272
638,639,0.14272
639,640,0.14272
640,641,0.14272
641,642,0.49112
642,643,0.49112
643,644,0.49112
644,645,0.49112
645,646,0.49112
646,647,0.14272
647,648,0.14272
648,649,0.14272
649,650,0.14272
650,651,0.14272
651,652,0.14272
652,653,0.14272
653,654,0.14272
654,655,0.14272
655,656,0.14272
656,657,0.14272
657,658,0.14272
658,659,0.14272
659,660,0.14272
660,661,0.14272
661,662,0.14272
662,663,0.14272
663,664,0.14272
664,665,0.14272
665,666,0.49112
666,667,0.49112
667,668,0.49112
668,669,0.49112
669,670,0.49112
670,671,0.14272
671,672,0.14272
672,673,0.14272
673,674,0.14272
674,675,0.14272
675,676,0.14272
676,677,0.14272
677,678,0.14272
678,679,0.14272
679,680,0.14272
680,681,0.14272
681,682,0.14272
682,683,0.14272
683,684,0.14272
684,685,0.14272
685,686,0.14272
686,687,0.14272
687,688,0.14272
688,689,0.14272
689,690,0.49112
690,691,0.49112
691,692,0.49112
692,693,0.49112
693,694,0.49112
694,695,0.14272
695,696,0.14272
696,697,0.14272
697,698,0.14272
698,699,0.14272
699,700,0.14272
700,701,0.14272
701,702,0.14272
702,703,0.14272
703,704,0.14272
704,705,0.14272
705,706,0.14272
706,707,0.14272
707,708,0.14272
708,709,0.14272
709,710,0.14272
710,711,0.14272
711,712,0.14272
712,713,0.14272
713,714,0.49112
714,715,0.49112
715,716,0.49112
716,717,0.49112
717,718,0.49112
718,719,0.14272
719,720,0.14272
720,721,0.14272
721,722,0.14272
722,723,0.14272
723,724,0.14272
724,725,0.14272
725,726,0.14272
726,727,0.14272
727,728,0.14272
728,729,0.14272
729,730,0.14272
730,731,0.14272
731,732,0.14272
732,733,0.14272
733,734,0.14272
734,735,0.14272
735,736,0.14272
736,737,0.14272
737,738,0.49112
738,739,0.49112
739,740,0.49112
740,741,0.49112
741,742,0.49112
742,743,0.14272
743,744,0.14272
744,745,0.14272
745,746,0.14272
746,747,0.14272
747,748,0.14272
748,749,0.14272
749,750,0.14272
750,751,0.14272
751,752,0.14272
752,753,0.14272
753,754,0.14272
754,755,0.14272
755,756,0.14272
756,757,0.14272
757,758,0.14272
758,759,0.14272
759,760,0.14272
760,761,0.14272
761,762,0.49112
762,763,0.49112
763,764,0.49112
764,765,0.49112
765,766,0.49112
766,767,0.14272
767,768,0.14272
768,769,0.14272
769,770,0.14272
770,771,0.14272
771,772,0.14272
772,773,0.14272
773,774,0.14272
774,775,0.14272
775,776,0.14272
776,777,0.14272
777,778,0.14272
778,779,0.14272
779,780,0.14272
780,781,0.14272
781,782,0.14272
782,783,0.14272
783,784,0.14272
784,785,0.14272
785,786,0.49112
786,787,0.49112
787,788,0.49112
788,789,0.49112
789,790,0.49112
790,791,0.14272
791,792,0.14272
792,793,0.14272
793,794,0.14272
794,795,0.14272
795,796,0.14272
796,797,0.14272
797,798,0.14272
798,799,0.14272
799,800,0.14272
800,801,0.14272
801,802,0.14272
802,803,0.14272
803,804,0.14272
804,805,0.14272
805,806,0.14272
806,807,0.14272
807,808,0.14272
808,809,0.14272
809,810,0.49112
810,811,0.49112
811,812,0.49112
812,813,0.49112
813,814,0.49112
814,815,0.14272
815,816,0.14272
816,817,0.14272
817,818,0.14272
818,819,0.14272
819,820,0.14272
820,821,0.14272
821,822,0.14272
822,823,0.14272
823,824,0.14272
824,825,0.14272
825,826,0.14272
826,827,0.14272
827,828,0.14272
828,829,0.14272
829,830,0.14272
830,831,0.14272
