    ,HourOfYear,2020
0   ,1         ,1093
1   ,2         ,1026
2   ,3         ,984
3   ,4         ,979
4   ,5         ,982
5   ,6         ,1051
6   ,7         ,1208
7   ,8         ,1474
8   ,9         ,1568
9   ,10        ,1440
10  ,11        ,1351
11  ,12        ,1253
12  ,13        ,1321
13  ,14        ,1427
14  ,15        ,1500
15  ,16        ,1574
16  ,17        ,1560
17  ,18        ,1634
18  ,19        ,1670
19  ,20        ,1690
20  ,21        ,1637
21  ,22        ,1552
22  ,23        ,1440
23  ,24        ,1273
24  ,25        ,1168
25  ,26        ,1096
26  ,27        ,1055
27  ,28        ,1043
28  ,29        ,1071
29  ,30        ,1121
30  ,31        ,1334
31  ,32        ,1625
32  ,33        ,1778
33  ,34        ,1766
34  ,35        ,1766
35  ,36        ,1708
36  ,37        ,1858
37  ,38        ,1793
38  ,39        ,1649
39  ,40        ,1583
40  ,41        ,1475
41  ,42        ,1441
42  ,43        ,1430
43  ,44        ,1409
44  ,45        ,1362
45  ,46        ,1278
46  ,47        ,1220
47  ,48        ,1144
48  ,49        ,1055
49  ,50        ,1000
50  ,51        ,960
51  ,52        ,959
52  ,53        ,977
53  ,54        ,1091
54  ,55        ,1057
55  ,56        ,977
56  ,57        ,855
57  ,58        ,783
58  ,59        ,698
59  ,60        ,742
60  ,61        ,724
61  ,62        ,726
62  ,63        ,735
63  ,64        ,878
64  ,65        ,1077
65  ,66        ,1201
66  ,67        ,1211
67  ,68        ,1223
68  ,69        ,1224
69  ,70        ,1194
70  ,71        ,1152
71  ,72        ,1127
72  ,73        ,1057
73  ,74        ,1019
74  ,75        ,980
75  ,76        ,973
76  ,77        ,989
77  ,78        ,1011
78  ,79        ,1019
79  ,80        ,957
80  ,81        ,903
81  ,82        ,813
82  ,83        ,716
83  ,84        ,657
84  ,85        ,689
85  ,86        ,773
86  ,87        ,739
87  ,88        ,895
88  ,89        ,1103
89  ,90        ,1299
90  ,91        ,1343
91  ,92        ,1335
92  ,93        ,1295
93  ,94        ,1284
94  ,95        ,1270
95  ,96        ,1166
96  ,97        ,1058
97  ,98        ,1056
98  ,99        ,979
99  ,100       ,955
100 ,101       ,972
101 ,102       ,985
102 ,103       ,1130
103 ,104       ,1401
104 ,105       ,1630
105 ,106       ,1903
106 ,107       ,2052
107 ,108       ,2181
108 ,109       ,2221
109 ,110       ,2061
110 ,111       ,2150
111 ,112       ,2214
112 ,113       ,2143
113 ,114       ,2071
114 ,115       ,2094
115 ,116       ,2046
116 ,117       ,1869
117 ,118       ,1818
118 ,119       ,1822
119 ,120       ,1619
120 ,121       ,1412
121 ,122       ,1310
122 ,123       ,1249
123 ,124       ,1228
124 ,125       ,1218
125 ,126       ,1281
126 ,127       ,1424
127 ,128       ,1728
128 ,129       ,1796
129 ,130       ,1699
130 ,131       ,1586
131 ,132       ,1493
132 ,133       ,1340
133 ,134       ,1257
134 ,135       ,1195
135 ,136       ,1250
136 ,137       ,1392
137 ,138       ,1583
138 ,139       ,1617
139 ,140       ,1670
140 ,141       ,1659
141 ,142       ,1588
142 ,143       ,1528
143 ,144       ,1509
144 ,145       ,1326
145 ,146       ,1190
146 ,147       ,1135
147 ,148       ,1098
148 ,149       ,1103
149 ,150       ,1131
150 ,151       ,1292
151 ,152       ,1660
152 ,153       ,1802
153 ,154       ,1638
154 ,155       ,1568
155 ,156       ,1626
156 ,157       ,1520
157 ,158       ,1425
158 ,159       ,1507
159 ,160       ,1538
160 ,161       ,1589
161 ,162       ,1713
162 ,163       ,1715
163 ,164       ,1676
164 ,165       ,1582
165 ,166       ,1543
166 ,167       ,1458
167 ,168       ,1307
168 ,169       ,1187
169 ,170       ,1105
170 ,171       ,1054
171 ,172       ,1032
172 ,173       ,1070
173 ,174       ,1107
174 ,175       ,1308
175 ,176       ,1775
176 ,177       ,2098
177 ,178       ,2222
178 ,179       ,2329
179 ,180       ,2277
180 ,181       ,2194
181 ,182       ,2188
182 ,183       ,2041
183 ,184       ,1956
184 ,185       ,1915
185 ,186       ,1841
186 ,187       ,2029
187 ,188       ,2067
188 ,189       ,2060
189 ,190       ,1979
190 ,191       ,1899
191 ,192       ,1753
192 ,193       ,1604
193 ,194       ,1519
194 ,195       ,1445
195 ,196       ,1406
196 ,197       ,1403
197 ,198       ,1515
198 ,199       ,1597
199 ,200       ,1947
200 ,201       ,2222
201 ,202       ,2321
202 ,203       ,2247
203 ,204       ,2251
204 ,205       ,2266
205 ,206       ,1684
206 ,207       ,1609
207 ,208       ,1608
208 ,209       ,1623
209 ,210       ,1596
210 ,211       ,1761
211 ,212       ,1747
212 ,213       ,1676
213 ,214       ,1469
214 ,215       ,1341
215 ,216       ,1248
216 ,217       ,1162
217 ,218       ,1096
218 ,219       ,1050
219 ,220       ,1037
220 ,221       ,1059
221 ,222       ,1142
222 ,223       ,1180
223 ,224       ,1143
224 ,225       ,1092
225 ,226       ,1066
226 ,227       ,1021
227 ,228       ,973
228 ,229       ,966
229 ,230       ,668
230 ,231       ,775
231 ,232       ,908
232 ,233       ,1151
233 ,234       ,1252
234 ,235       ,1260
235 ,236       ,1279
236 ,237       ,1253
237 ,238       ,1211
238 ,239       ,1181
239 ,240       ,1151
240 ,241       ,1087
241 ,242       ,1055
242 ,243       ,1009
243 ,244       ,1012
244 ,245       ,1022
245 ,246       ,1034
246 ,247       ,1028
247 ,248       ,917
248 ,249       ,774
249 ,250       ,762
250 ,251       ,639
251 ,252       ,496
252 ,253       ,811
253 ,254       ,722
254 ,255       ,747
255 ,256       ,887
256 ,257       ,1051
257 ,258       ,1193
258 ,259       ,1295
259 ,260       ,1310
260 ,261       ,1353
261 ,262       ,1284
262 ,263       ,1236
263 ,264       ,1186
264 ,265       ,1083
265 ,266       ,1055
266 ,267       ,995
267 ,268       ,979
268 ,269       ,992
269 ,270       ,1033
270 ,271       ,1127
271 ,272       ,1447
272 ,273       ,1733
273 ,274       ,1733
274 ,275       ,1678
275 ,276       ,1569
276 ,277       ,1552
277 ,278       ,1593
278 ,279       ,1716
279 ,280       ,1715
280 ,281       ,1730
281 ,282       ,1732
282 ,283       ,1783
283 ,284       ,1897
284 ,285       ,1802
285 ,286       ,1719
286 ,287       ,1626
287 ,288       ,1424
288 ,289       ,1263
289 ,290       ,1158
290 ,291       ,1104
291 ,292       ,1068
292 ,293       ,1082
293 ,294       ,1115
294 ,295       ,1301
295 ,296       ,1740
296 ,297       ,1996
297 ,298       ,1630
298 ,299       ,1448
299 ,300       ,1221
300 ,301       ,1174
301 ,302       ,1312
302 ,303       ,1305
303 ,304       ,1404
304 ,305       ,1427
305 ,306       ,1554
306 ,307       ,1623
307 ,308       ,1622
308 ,309       ,1647
309 ,310       ,1578
310 ,311       ,1540
311 ,312       ,1432
312 ,313       ,1249
313 ,314       ,1145
314 ,315       ,1090
315 ,316       ,1049
316 ,317       ,1061
317 ,318       ,1120
318 ,319       ,1326
319 ,320       ,1640
320 ,321       ,1732
321 ,322       ,1528
322 ,323       ,1457
323 ,324       ,1144
324 ,325       ,962
325 ,326       ,1035
326 ,327       ,1046
327 ,328       ,1151
328 ,329       ,1321
329 ,330       ,1600
330 ,331       ,1625
331 ,332       ,1663
332 ,333       ,1652
333 ,334       ,1603
334 ,335       ,1511
335 ,336       ,1342
336 ,337       ,1201
337 ,338       ,1119
338 ,339       ,1037
339 ,340       ,998
340 ,341       ,1009
341 ,342       ,1115
342 ,343       ,1286
343 ,344       ,1501
344 ,345       ,1630
