,HourOfYear,2020
0,1,746
1,2,719
2,3,686
3,4,684
4,5,686
5,6,677
6,7,686
7,8,622
8,9,486
9,10,375
10,11,302
11,12,270
12,13,293
13,14,328
14,15,432
15,16,543
16,17,662
17,18,754
18,19,771
19,20,784
20,21,772
21,22,762
22,23,772
23,24,787
24,25,755
25,26,728
26,27,710
27,28,712
28,29,715
29,30,686
30,31,674
31,32,597
32,33,470
33,34,386
34,35,295
35,36,179
36,37,207
37,38,331
38,39,412
39,40,542
40,41,669
41,42,737
42,43,769
43,44,805
44,45,799
45,46,770
46,47,754
47,48,747
48,49,719
49,50,712
50,51,698
51,52,690
52,53,684
53,54,683
54,55,708
55,56,709
56,57,774
57,58,951
58,59,999
59,60,907
60,61,1031
61,62,1132
62,63,1158
63,64,1276
64,65,1244
65,66,1123
66,67,1031
67,68,1024
68,69,881
69,70,842
70,71,788
71,72,782
72,73,753
73,74,725
74,75,724
75,76,711
76,77,710
77,78,691
78,79,802
79,80,1002
80,81,1238
81,82,1301
82,83,1279
83,84,1220
84,85,1176
85,86,1327
86,87,1380
87,88,1472
88,89,1427
89,90,1364
90,91,1321
91,92,1276
92,93,1071
93,94,887
94,95,867
95,96,850
96,97,809
97,98,780
98,99,756
99,100,750
100,101,739
101,102,752
102,103,946
103,104,1013
104,105,1204
105,106,1219
106,107,1382
107,108,1150
108,109,1189
109,110,1343
110,111,1430
111,112,1422
112,113,1361
113,114,1290
114,115,1258
115,116,1159
116,117,1020
117,118,985
118,119,950
119,120,901
120,121,885
121,122,861
122,123,850
123,124,844
124,125,834
125,126,853
126,127,966
127,128,1124
128,129,1350
129,130,1257
130,131,1322
131,132,1091
132,133,1248
133,134,1385
134,135,1403
135,136,1450
136,137,1509
137,138,1671
138,139,1369
139,140,1198
140,141,1028
141,142,980
142,143,936
143,144,883
144,145,845
145,146,808
146,147,797
147,148,781
148,149,776
149,150,772
150,151,928
151,152,1018
152,153,1042
153,154,1093
154,155,1210
155,156,1097
156,157,1184
157,158,1227
158,159,1177
159,160,1340
160,161,1195
161,162,1087
162,163,988
163,164,907
164,165,908
165,166,882
166,167,845
167,168,836
168,169,817
169,170,777
170,171,783
171,172,839
172,173,814
173,174,736
174,175,769
175,176,730
176,177,690
177,178,677
178,179,591
179,180,624
180,181,635
181,182,714
182,183,716
183,184,733
