,HourOfYear,2020
0,1,781
1,2,734
2,3,719
3,4,711
4,5,736
5,6,774
6,7,888
7,8,1078
8,9,1159
9,10,1284
10,11,1168
11,12,1106
12,13,1078
13,14,1032
14,15,1002
15,16,1013
16,17,1029
17,18,977
18,19,1036
19,20,1105
20,21,1031
21,22,984
22,23,929
23,24,845
24,25,770
25,26,724
26,27,703
27,28,682
28,29,710
29,30,764
30,31,882
31,32,986
32,33,1112
33,34,1057
34,35,1094
35,36,988
36,37,1016
37,38,868
38,39,865
39,40,900
40,41,941
41,42,968
42,43,1010
43,44,957
44,45,928
45,46,898
46,47,843
47,48,779
48,49,721
49,50,698
50,51,683
51,52,676
52,53,703
53,54,731
54,55,766
55,56,815
56,57,757
57,58,626
58,59,534
59,60,581
60,61,602
61,62,639
62,63,619
63,64,654
64,65,806
65,66,880
66,67,853
67,68,809
68,69,803
69,70,799
70,71,794
71,72,751
72,73,687
73,74,677
74,75,664
75,76,663
76,77,687
77,78,706
78,79,712
79,80,541
80,81,421
81,82,360
82,83,355
83,84,322
84,85,323
85,86,351
86,87,410
87,88,545
88,89,745
89,90,841
90,91,877
91,92,902
92,93,916
93,94,893
94,95,872
95,96,793
96,97,734
97,98,714
98,99,702
99,100,674
100,101,701
101,102,731
102,103,825
103,104,976
104,105,1110
105,106,1056
106,107,1036
107,108,818
108,109,882
109,110,961
110,111,892
111,112,978
112,113,1124
113,114,1055
114,115,1114
115,116,1097
116,117,1083
117,118,1086
118,119,1017
119,120,919
120,121,831
121,122,800
122,123,778
123,124,756
124,125,788
125,126,819
126,127,954
127,128,1007
128,129,1110
129,130,1068
130,131,963
131,132,720
132,133,823
133,134,810
134,135,819
135,136,881
136,137,1047
137,138,1077
138,139,1116
139,140,1169
140,141,1144
141,142,1117
142,143,1053
143,144,924
144,145,838
145,146,778
146,147,750
147,148,748
148,149,762
149,150,781
150,151,920
151,152,997
152,153,1051
153,154,974
154,155,925
155,156,741
156,157,768
157,158,901
158,159,909
159,160,970
160,161,1115
161,162,1169
162,163,1145
163,164,1098
164,165,1073
165,166,1058
166,167,996
167,168,882
168,169,838
169,170,790
170,171,756
171,172,743
172,173,766
173,174,785
174,175,917
175,176,993
176,177,1024
177,178,1045
178,179,1071
179,180,1193
180,181,1128
181,182,1091
182,183,1010
183,184,1188
184,185,1226
185,186,1171
186,187,1194
187,188,1219
188,189,1161
189,190,1092
190,191,1012
191,192,908
192,193,829
193,194,800
194,195,785
195,196,762
196,197,785
197,198,828
198,199,918
199,200,1021
200,201,1182
201,202,1112
202,203,1052
203,204,732
204,205,727
205,206,1003
206,207,988
207,208,1006
208,209,1130
209,210,1117
210,211,1099
211,212,1026
212,213,1040
213,214,1028
214,215,942
215,216,860
216,217,822
217,218,784
218,219,749
219,220,756
220,221,772
221,222,804
222,223,862
223,224,806
224,225,673
225,226,526
226,227,463
227,228,239
228,229,249
229,230,438
230,231,515
231,232,675
232,233,880
233,234,979
234,235,936
235,236,925
236,237,931
237,238,904
238,239,894
239,240,847
240,241,786
241,242,761
242,243,746
243,244,697
244,245,728
245,246,759
246,247,771
247,248,678
248,249,567
249,250,471
250,251,392
251,252,219
252,253,235
253,254,387
254,255,454
255,256,587
256,257,777
257,258,870
258,259,915
259,260,916
260,261,902
261,262,881
262,263,839
263,264,799
264,265,754
265,266,742
266,267,711
267,268,717
268,269,744
269,270,766
270,271,895
271,272,984
272,273,1053
273,274,1062
274,275,1062
275,276,761
276,277,800
277,278,912
278,279,885
279,280,915
280,281,1100
281,282,1138
282,283,1172
283,284,1165
284,285,1064
285,286,1026
286,287,978
287,288,877
288,289,811
289,290,797
290,291,764
291,292,754
292,293,790
293,294,828
294,295,952
295,296,1061
296,297,1023
297,298,978
298,299,833
299,300,717
300,301,765
301,302,1006
302,303,937
303,304,961
304,305,1016
305,306,1098
306,307,1120
307,308,1141
308,309,1099
309,310,1000
310,311,965
311,312,901
312,313,826
313,314,771
314,315,752
315,316,735
316,317,762
317,318,788
318,319,915
319,320,879
320,321,948
321,322,947
322,323,712
323,324,601
324,325,576
325,326,827
326,327,812
327,328,828
328,329,954
329,330,1065
330,331,1063
331,332,1003
332,333,1015
333,334,1033
334,335,936
335,336,861
336,337,810
337,338,770
338,339,758
339,340,743
340,341,760
341,342,787
342,343,916
343,344,1004
344,345,1045
345,346,1013
346,347,882
347,348,580
348,349,611
349,350,748
350,351,1042
351,352,1202
352,353,1411
353,354,1398
354,355,1396
355,356,1390
356,357,1410
357,358,1836
358,359,1823
359,360,1749
360,361,1646
361,362,1609
362,363,1534
363,364,1544
364,365,1545
365,366,1602
366,367,1694
367,368,1778
368,369,1887
369,370,1945
370,371,1711
371,372,1568
372,373,1915
373,374,1811
374,375,1755
375,376,1753
376,377,1796
377,378,1628
378,379,1611
379,380,1613
380,381,1593
381,382,1565
382,383,1495
383,384,1445
384,385,1437
385,386,1414
386,387,1349
387,388,1335
388,389,1359
389,390,1387
390,391,1480
391,392,1421
392,393,1378
393,394,1312
394,395,1313
395,396,1307
396,397,1295
397,398,896
398,399,1128
399,400,1261
400,401,1524
401,402,1616
402,403,1615
403,404,1580
404,405,1565
405,406,1539
406,407,1480
407,408,1479
408,409,1456
409,410,1426
410,411,1390
411,412,1360
412,413,1403
413,414,1416
414,415,1417
415,416,1315
416,417,1219
417,418,1147
418,419,1059
419,420,926
420,421,965
421,422,994
422,423,1196
423,424,1313
424,425,1452
425,426,1574
426,427,1614
427,428,1648
428,429,1650
429,430,1639
430,431,1599
431,432,1566
432,433,1487
433,434,1515
434,435,1434
435,436,1387
436,437,1411
437,438,1522
438,439,1665
439,440,1760
440,441,2220
441,442,2197
442,443,2017
443,444,1945
444,445,1980
445,446,1921
446,447,2007
447,448,2089
448,449,2276
449,450,2160
450,451,2154
451,452,2167
452,453,2075
453,454,2013
454,455,1954
455,456,1828
456,457,1724
457,458,1663
458,459,1629
459,460,1563
460,461,1598
461,462,1658
462,463,1738
463,464,1902
464,465,2409
465,466,2214
466,467,1983
467,468,1994
468,469,1908
469,470,2080
470,471,2186
471,472,2128
472,473,2213
473,474,2132
474,475,2155
475,476,2165
476,477,2144
477,478,2116
478,479,2041
479,480,1920
480,481,1744
481,482,1691
482,483,1637
483,484,1646
484,485,1643
485,486,1706
486,487,1812
487,488,2072
488,489,2359
489,490,2415
490,491,2165
491,492,2079
492,493,1968
493,494,1975
494,495,2158
495,496,2289
496,497,2396
497,498,2305
498,499,2313
499,500,2290
500,501,2138
501,502,2166
502,503,2044
503,504,2018
504,505,1881
505,506,1792
506,507,1744
507,508,1730
508,509,1734
509,510,1786
510,511,1899
511,512,2043
512,513,2421
513,514,2367
514,515,2130
515,516,1992
516,517,1901
517,518,2027
518,519,2211
519,520,2288
520,521,2448
521,522,2252
522,523,2226
523,524,2185
524,525,2203
525,526,2171
526,527,2111
527,528,1972
528,529,1849
529,530,1787
530,531,1734
531,532,1719
532,533,1716
533,534,1781
534,535,1916
535,536,2113
536,537,2369
537,538,2299
538,539,1909
539,540,1773
540,541,1714
541,542,1699
542,543,1814
543,544,1840
544,545,1867
545,546,1918
546,547,1923
547,548,1866
548,549,1819
549,550,1771
550,551,1740
551,552,1679
552,553,1652
553,554,1561
554,555,1555
